,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bathsheba,13.22,-59.52,27.0,74,40,8.7,BB,1589704932
1,Puerto Ayora,-0.74,-90.35,22.78,93,0,1.98,EC,1589704933
2,Jijiga,9.35,42.8,23.93,62,63,5.63,ET,1589704933
3,Taoudenni,22.68,-3.98,30.32,13,0,5.71,ML,1589704933
4,Panalingaan,8.78,117.42,31.18,64,18,0.82,PH,1589704933
5,Hobart,-42.88,147.33,12.0,81,75,3.1,AU,1589704769
6,Ishigaki,24.34,124.16,27.0,83,75,5.1,JP,1589704934
7,Carnarvon,-24.87,113.63,25.53,34,84,6.08,AU,1589704934
8,The Pas,53.83,-101.25,11.0,62,90,6.2,CA,1589704732
9,Busselton,-33.65,115.33,17.22,39,100,4.46,AU,1589704934
10,Albany,42.6,-73.97,10.56,73,100,0.35,US,1589704934
11,Norman Wells,65.28,-126.83,-2.0,79,90,6.2,CA,1589704935
12,Polovinnoye,54.79,65.99,22.46,44,77,6.36,RU,1589704935
13,Lavrentiya,65.58,-171.0,-3.11,95,93,3.95,RU,1589704935
14,Raychikhinsk,49.78,129.41,17.07,37,1,3.13,RU,1589704935
15,San Luis,-33.3,-66.34,11.63,58,0,1.17,AR,1589704935
16,Arraial do Cabo,-22.97,-42.03,21.07,85,1,3.33,BR,1589704936
17,Saint Paul Harbor,57.79,-152.41,8.0,75,1,2.1,US,1589704936
18,Kabalo,-6.05,26.92,28.21,54,4,4.02,CD,1589704936
19,Fes,34.04,-5.0,18.0,68,0,2.1,MA,1589704936
20,Ponta do Sol,32.67,-17.1,18.0,52,75,3.1,PT,1589704936
21,Chui,-33.7,-53.46,15.14,78,11,4.81,UY,1589704937
22,Castro,-24.79,-50.01,8.26,55,0,0.34,BR,1589704937
23,Ekhabi,53.51,142.97,-0.08,97,95,7.49,RU,1589704937
24,Bluff,-46.6,168.33,10.43,89,0,3.97,NZ,1589704937
25,Fukuechō,32.69,128.84,20.0,94,75,3.1,JP,1589704938
26,Caravelas,-17.71,-39.25,21.37,94,100,5.02,BR,1589704938
27,Qaanaaq,77.48,-69.36,-3.41,83,0,1.98,GL,1589704938
28,Rikitea,-23.12,-134.97,25.06,85,100,4.46,PF,1589704938
29,Yangi Marg`ilon,40.43,71.72,24.0,31,100,3.1,UZ,1589704938
30,Punta Arenas,-53.15,-70.92,4.0,86,40,6.2,CL,1589704939
31,Vaini,-21.2,-175.2,22.0,88,75,2.6,TO,1589704939
32,Ca Mau,9.18,105.15,32.83,54,100,3.16,VN,1589704741
33,Taltal,-25.4,-70.48,13.71,76,52,1.18,CL,1589704939
34,Mataura,-46.19,168.86,6.09,92,0,0.68,NZ,1589704939
35,Butaritari,3.07,172.79,28.75,81,95,8.46,KI,1589704940
36,Belize,17.25,-88.75,25.56,78,64,1.12,BZ,1589704940
37,Imeni Poliny Osipenko,52.42,136.49,11.24,45,67,6.23,RU,1589704940
38,Coyhaique,-45.58,-72.07,6.0,87,100,1.5,CL,1589704940
40,Hobyo,5.35,48.53,32.49,53,0,9.44,SO,1589704941
41,Dikson,73.51,80.55,-0.29,98,88,6.14,RU,1589704941
42,Ushuaia,-54.8,-68.3,3.0,86,40,2.1,AR,1589704890
43,Cherskiy,68.75,161.3,7.65,55,0,5.71,RU,1589704941
44,Bredasdorp,-34.53,20.04,18.0,52,100,2.1,ZA,1589704941
45,Husavik,66.04,-17.34,4.0,60,90,6.2,IS,1589704941
46,Shimoda,34.67,138.95,21.0,83,75,2.6,JP,1589704942
47,Den Helder,52.96,4.76,15.56,71,21,3.1,NL,1589704942
